scen,iter,col,category,count
pvalloc_LRG3_max_1hll,9,GKLAS,1110,5019
pvalloc_LRG3_max_1hll,9,are_typ,Rural,1419
pvalloc_LRG3_max_1hll,9,are_typ,Suburban,1545
pvalloc_LRG3_max_1hll,9,are_typ,Urban,2512
pvalloc_LRG3_max_1hll,9,heatpump_TF,heatpump,95
pvalloc_LRG3_max_1hll,9,heatpump_TF,no_heatpump,5381
pvalloc_LRG3_max_1hll,9,filter_tag,eastwest_70pr,261
pvalloc_LRG3_max_1hll,9,filter_tag,eastwest_80pr,624
pvalloc_LRG3_max_1hll,9,filter_tag,na,3379
pvalloc_LRG3_max_1hll,9,filter_tag,south_40pr,524
pvalloc_LRG3_max_1hll,9,filter_tag,south_50pr,688
pvalloc_LRG3_max_1hll,10,GKLAS,1122,24
pvalloc_LRG3_max_1hll,10,GKLAS,1121,43
pvalloc_LRG3_max_1hll,10,GKLAS,1110,742
pvalloc_LRG3_max_1hll,10,are_typ,Urban,444
pvalloc_LRG3_max_1hll,10,are_typ,Rural,155
pvalloc_LRG3_max_1hll,10,are_typ,Suburban,210
pvalloc_LRG3_max_1hll,10,heatpump_TF,no_heatpump,804
pvalloc_LRG3_max_1hll,10,heatpump_TF,heatpump,5
pvalloc_LRG3_max_1hll,10,filter_tag,south_50pr,140
pvalloc_LRG3_max_1hll,10,filter_tag,south_40pr,81
pvalloc_LRG3_max_1hll,10,filter_tag,eastwest_80pr,71
pvalloc_LRG3_max_1hll,10,filter_tag,eastwest_70pr,33
pvalloc_LRG3_max_1hll,10,filter_tag,na,484
pvalloc_LRG3_max_elecpri15rp,1,GKLAS,1110,167
pvalloc_LRG3_max_elecpri15rp,1,GKLAS,1121,30
pvalloc_LRG3_max_elecpri15rp,1,GKLAS,1122,191
pvalloc_LRG3_max_elecpri15rp,1,are_typ,Rural,82
pvalloc_LRG3_max_elecpri15rp,1,are_typ,Suburban,156
pvalloc_LRG3_max_elecpri15rp,1,are_typ,Urban,150
pvalloc_LRG3_max_elecpri15rp,1,heatpump_TF,heatpump,91
pvalloc_LRG3_max_elecpri15rp,1,heatpump_TF,no_heatpump,297
pvalloc_LRG3_max_elecpri15rp,1,filter_tag,south_50pr,37
