scen,iter,col,category,count
pvalloc_29nbfs_LRG2_max_sAs2p0,4,filter_tag,south_40pr,275
pvalloc_29nbfs_LRG2_max_sAs2p0,5,GKLAS,1121,268
pvalloc_29nbfs_LRG2_max_sAs2p0,5,GKLAS,1110,2865
pvalloc_29nbfs_LRG2_max_sAs2p0,5,GKLAS,1122,172
pvalloc_29nbfs_LRG2_max_sAs2p0,5,are_typ,Urban,1886
pvalloc_29nbfs_LRG2_max_sAs2p0,5,are_typ,Suburban,1132
pvalloc_29nbfs_LRG2_max_sAs2p0,5,are_typ,Rural,287
pvalloc_29nbfs_LRG2_max_sAs2p0,5,heatpump_TF,no_heatpump,3069
pvalloc_29nbfs_LRG2_max_sAs2p0,5,heatpump_TF,heatpump,236
pvalloc_29nbfs_LRG2_max_sAs2p0,5,filter_tag,south_50pr,259
pvalloc_29nbfs_LRG2_max_sAs2p0,5,filter_tag,south_40pr,485
pvalloc_29nbfs_LRG2_max_sAs2p0,5,filter_tag,na,1523
pvalloc_29nbfs_LRG2_max_sAs2p0,5,filter_tag,eastwest_70pr,253
pvalloc_29nbfs_LRG2_max_sAs2p0,5,filter_tag,eastwest_80pr,785
pvalloc_29nbfs_LRG2_max_sAs2p0,6,GKLAS,1122,51
pvalloc_29nbfs_LRG2_max_sAs2p0,6,GKLAS,1110,4776
pvalloc_29nbfs_LRG2_max_sAs2p0,6,GKLAS,1121,158
pvalloc_29nbfs_LRG2_max_sAs2p0,6,are_typ,Urban,3205
pvalloc_29nbfs_LRG2_max_sAs2p0,6,are_typ,Rural,193
pvalloc_29nbfs_LRG2_max_sAs2p0,6,are_typ,Suburban,1587
pvalloc_29nbfs_LRG2_max_sAs2p0,6,heatpump_TF,heatpump,40
pvalloc_29nbfs_LRG2_max_sAs2p0,6,heatpump_TF,no_heatpump,4945
pvalloc_29nbfs_LRG2_max_sAs2p0,6,filter_tag,eastwest_70pr,324
pvalloc_29nbfs_LRG2_max_sAs2p0,6,filter_tag,na,1811
pvalloc_29nbfs_LRG2_max_sAs2p0,6,filter_tag,south_40pr,859
pvalloc_29nbfs_LRG2_max_sAs2p0,6,filter_tag,south_50pr,518
pvalloc_29nbfs_LRG2_max_sAs2p0,6,filter_tag,eastwest_80pr,1473
pvalloc_29nbfs_LRG2_max_sAs2p0,7,GKLAS,1122,28
pvalloc_29nbfs_LRG2_max_sAs2p0,7,GKLAS,1110,6554
pvalloc_29nbfs_LRG2_max_sAs2p0,7,GKLAS,1121,34
pvalloc_29nbfs_LRG2_max_sAs2p0,7,are_typ,Rural,107
pvalloc_29nbfs_LRG2_max_sAs2p0,7,are_typ,Urban,4711
pvalloc_29nbfs_LRG2_max_sAs2p0,7,are_typ,Suburban,1798
pvalloc_29nbfs_LRG2_max_sAs2p0,7,heatpump_TF,heatpump,15
pvalloc_29nbfs_LRG2_max_sAs2p0,7,heatpump_TF,no_heatpump,6601
pvalloc_29nbfs_LRG2_max_sAs2p0,7,filter_tag,na,3125
pvalloc_29nbfs_LRG2_max_sAs2p0,7,filter_tag,south_40pr,1311
pvalloc_29nbfs_LRG2_max_sAs2p0,7,filter_tag,eastwest_70pr,258
pvalloc_29nbfs_LRG2_max_sAs2p0,7,filter_tag,south_50pr,492
pvalloc_29nbfs_LRG2_max_sAs2p0,7,filter_tag,eastwest_80pr,1430
pvalloc_29nbfs_LRG2_max_sAs2p0,8,GKLAS,1110,2311
pvalloc_29nbfs_LRG2_max_sAs2p0,8,GKLAS,1122,15
pvalloc_29nbfs_LRG2_max_sAs2p0,8,GKLAS,1121,9
pvalloc_29nbfs_LRG2_max_sAs2p0,8,are_typ,Suburban,659
pvalloc_29nbfs_LRG2_max_sAs2p0,8,are_typ,Urban,1628
pvalloc_29nbfs_LRG2_max_sAs2p0,8,are_typ,Rural,48
pvalloc_29nbfs_LRG2_max_sAs2p0,8,heatpump_TF,heatpump,15
pvalloc_29nbfs_LRG2_max_sAs2p0,8,heatpump_TF,no_heatpump,2320
pvalloc_29nbfs_LRG2_max_sAs2p0,8,filter_tag,south_40pr,149
pvalloc_29nbfs_LRG2_max_sAs2p0,8,filter_tag,south_50pr,51
pvalloc_29nbfs_LRG2_max_sAs2p0,8,filter_tag,eastwest_70pr,24
pvalloc_29nbfs_LRG2_max_sAs2p0,8,filter_tag,na,2017
pvalloc_29nbfs_LRG2_max_sAs2p0,8,filter_tag,eastwest_80pr,94
pvalloc_29nbfs_LRG2_max_sAs4p0,1,GKLAS,1121,43
pvalloc_29nbfs_LRG2_max_sAs4p0,1,GKLAS,1122,498
pvalloc_29nbfs_LRG2_max_sAs4p0,1,GKLAS,1110,108
pvalloc_29nbfs_LRG2_max_sAs4p0,1,are_typ,Urban,346
pvalloc_29nbfs_LRG2_max_sAs4p0,1,are_typ,Rural,60
pvalloc_29nbfs_LRG2_max_sAs4p0,1,are_typ,Suburban,243
pvalloc_29nbfs_LRG2_max_sAs4p0,1,heatpump_TF,heatpump,197
pvalloc_29nbfs_LRG2_max_sAs4p0,1,heatpump_TF,no_heatpump,452
pvalloc_29nbfs_LRG2_max_sAs4p0,1,filter_tag,eastwest_80pr,98
pvalloc_29nbfs_LRG2_max_sAs4p0,1,filter_tag,south_50pr,58
pvalloc_29nbfs_LRG2_max_sAs4p0,1,filter_tag,na,378
pvalloc_29nbfs_LRG2_max_sAs4p0,1,filter_tag,eastwest_70pr,33
pvalloc_29nbfs_LRG2_max_sAs4p0,1,filter_tag,south_40pr,82
pvalloc_29nbfs_LRG2_max_sAs4p0,2,GKLAS,1110,339
pvalloc_29nbfs_LRG2_max_sAs4p0,2,GKLAS,1122,682
pvalloc_29nbfs_LRG2_max_sAs4p0,2,GKLAS,1121,60
pvalloc_29nbfs_LRG2_max_sAs4p0,2,are_typ,Suburban,378
pvalloc_29nbfs_LRG2_max_sAs4p0,2,are_typ,Rural,138
pvalloc_29nbfs_LRG2_max_sAs4p0,2,are_typ,Urban,565
pvalloc_29nbfs_LRG2_max_sAs4p0,2,heatpump_TF,no_heatpump,706
pvalloc_29nbfs_LRG2_max_sAs4p0,2,heatpump_TF,heatpump,375
pvalloc_29nbfs_LRG2_max_sAs4p0,2,filter_tag,eastwest_70pr,70
pvalloc_29nbfs_LRG2_max_sAs4p0,2,filter_tag,south_50pr,64
pvalloc_29nbfs_LRG2_max_sAs4p0,2,filter_tag,south_40pr,111
pvalloc_29nbfs_LRG2_max_sAs4p0,2,filter_tag,eastwest_80pr,306
pvalloc_29nbfs_LRG2_max_sAs4p0,2,filter_tag,na,530
pvalloc_29nbfs_LRG2_max_sAs4p0,3,GKLAS,1110,825
pvalloc_29nbfs_LRG2_max_sAs4p0,3,GKLAS,1122,797
pvalloc_29nbfs_LRG2_max_sAs4p0,3,GKLAS,1121,86
pvalloc_29nbfs_LRG2_max_sAs4p0,3,are_typ,Urban,782
pvalloc_29nbfs_LRG2_max_sAs4p0,3,are_typ,Suburban,647
pvalloc_29nbfs_LRG2_max_sAs4p0,3,are_typ,Rural,279
pvalloc_29nbfs_LRG2_max_sAs4p0,3,heatpump_TF,heatpump,733
