n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
15,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
16,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
17,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
18,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
19,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
20,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
21,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
22,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
23,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
24,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
25,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
26,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
27,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
28,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
29,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
30,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
1,0,474762128.8,7234162.503,11521.12589,541,0.038412383,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
2,0,465536151.6,10987897.66,12807.65721,828,0.097202499,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
3,0,455208975.7,15362179.68,15561.90783,1224,0.184109628,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
4,0,443177839.7,21297659.37,18333.05751,1725,0.306589037,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
5,8484.602848,429910052.8,29362686.77,21132.25701,2236,0.465350753,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
6,60438.11849,415812052.5,39418824.69,23968.32867,2958,0.675376314,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
7,195206.5975,401094150.1,51497085.63,19445.03557,2622,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
8,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
9,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
10,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
11,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
12,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
13,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
14,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
15,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
16,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
